Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2013-2014,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,4.36,55.0,2.0,As Expected,"(34.05308, -118.13665)"
2013-2014,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,6.84,782.0,60.0,Better,"(34.07681, -118.38061)"
2013-2014,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,14.55,718.0,110.0,As Expected,"(34.07681, -118.38061)"
2013-2014,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,12.0,314.0,38.0,As Expected,"(34.22075, -118.53186)"
2013-2014,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,11.73,342.0,43.0,As Expected,"(34.22075, -118.53186)"
2013-2014,Los Angeles,College Medical Center,106190587,30-day Readmission,6.37,35.0,3.0,As Expected,"(33.80759, -118.19355)"
2013-2014,Los Angeles,College Medical Center,106190587,30-day Mortality,3.89,37.0,2.0,As Expected,"(33.80759, -118.19355)"
2013-2014,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,9.45,576.0,54.0,As Expected,"(34.07852, -117.75234)"
2013-2014,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,10.42,533.0,54.0,As Expected,"(34.07852, -117.75234)"
2013-2014,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,12.16,583.0,73.0,As Expected,"(33.96775, -118.04671)"
2013-2014,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,8.94,628.0,65.0,As Expected,"(33.96775, -118.04671)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Mortality,8.25,370.0,25.0,As Expected,"(34.06242, -117.94528)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Readmission,13.87,353.0,46.0,As Expected,"(34.06242, -117.94528)"
2013-2014,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,7.59,55.0,3.0,As Expected,"(34.09922, -117.83218)"
2013-2014,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,13.71,55.0,7.0,As Expected,"(34.09922, -117.83218)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Readmission,15.34,145.0,22.0,As Expected,"(33.73798, -118.30557)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Mortality,9.55,155.0,16.0,As Expected,"(33.73798, -118.30557)"
2013-2014,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,13.93,183.0,25.0,As Expected,"(34.02755, -118.48623)"
2013-2014,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,4.69,200.0,9.0,Better,"(34.02755, -118.48623)"
2013-2014,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Readmission,22.2,32.0,6.0,As Expected,"(34.24088, -118.39555)"
2013-2014,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Mortality,6.3,34.0,1.0,As Expected,"(34.24088, -118.39555)"
2013-2014,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,13.75,55.0,8.0,As Expected,"(34.15995, -118.4488)"
2013-2014,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,1.51,57.0,1.0,Better,"(34.15995, -118.4488)"
2013-2014,Los Angeles,Saint Francis Medical Center,106190754,30-day Mortality,8.03,262.0,16.0,As Expected,"(33.93085, -118.20415)"
2013-2014,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,11.63,240.0,31.0,As Expected,"(33.93085, -118.20415)"
2013-2014,Los Angeles,Saint John’s Health Center,106190756,30-day Readmission,10.3,156.0,16.0,As Expected,"(34.0298085, -118.478687)"
2013-2014,Los Angeles,Saint John’s Health Center,106190756,30-day Mortality,4.46,162.0,8.0,Better,"(34.0298085, -118.478687)"
2013-2014,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Readmission,11.48,498.0,56.0,As Expected,"(34.1559, -118.32711)"
2013-2014,Los Angeles,Providence Saint Joseph Medical Center,106190758,30-day Mortality,9.84,553.0,67.0,As Expected,"(34.1559, -118.32711)"
2013-2014,Los Angeles,Saint Vincent Medical Center,106190762,30-day Readmission,12.97,148.0,19.0,As Expected,"(34.06311, -118.27302)"
2013-2014,Los Angeles,Saint Vincent Medical Center,106190762,30-day Mortality,4.82,158.0,6.0,As Expected,"(34.06311, -118.27302)"
2013-2014,Los Angeles,Temple Community Hospital,106190784,30-day Readmission,8.51,44.0,4.0,As Expected,"(34.07534, -118.28366)"
2013-2014,Los Angeles,Temple Community Hospital,106190784,30-day Mortality,2.31,45.0,1.0,As Expected,"(34.07534, -118.28366)"
2013-2014,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Mortality,6.81,461.0,49.0,Better,"(34.068889, -118.445)"
2013-2014,Los Angeles,Ronald Reagan UCLA Medical Center,106190796,30-day Readmission,14.73,413.0,65.0,As Expected,"(34.068889, -118.445)"
2013-2014,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Readmission,13.29,207.0,30.0,As Expected,"(34.19399, -118.46196)"
2013-2014,Los Angeles,Valley Presbyterian Hospital,106190812,30-day Mortality,9.56,238.0,23.0,As Expected,"(34.19399, -118.46196)"
2013-2014,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Readmission,16.42,119.0,17.0,As Expected,"(34.20557, -118.2152)"
2013-2014,Los Angeles,University of Southern California Verdugo Hills Hospital,106190818,30-day Mortality,14.76,126.0,18.0,As Expected,"(34.20557, -118.2152)"
2013-2014,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Readmission,13.12,211.0,25.0,As Expected,"(34.20365, -118.6294)"
2013-2014,Los Angeles,West Hills Hospital and Medical Center,106190859,30-day Mortality,11.75,241.0,32.0,As Expected,"(34.20365, -118.6294)"
2013-2014,Los Angeles,White Memorial Medical Center,106190878,30-day Readmission,15.33,330.0,58.0,As Expected,"(34.051, -118.21739)"
2013-2014,Los Angeles,White Memorial Medical Center,106190878,30-day Mortality,6.39,350.0,21.0,Better,"(34.051, -118.21739)"
2013-2014,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Readmission,12.9,87.0,12.0,As Expected,"(33.95379, -118.00303)"
2013-2014,Los Angeles,Whittier Hospital Medical Center,106190883,30-day Mortality,7.58,91.0,5.0,As Expected,"(33.95379, -118.00303)"
2013-2014,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Mortality,7.58,296.0,22.0,As Expected,"(34.39637, -118.55324)"
2013-2014,Los Angeles,Henry Mayo Newhall Hospital,106190949,30-day Readmission,14.11,275.0,38.0,As Expected,"(34.39637, -118.55324)"
2013-2014,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Readmission,13.27,265.0,33.0,As Expected,"(33.83149, -118.29332)"
2013-2014,Los Angeles,Los Angeles County/Harbor – UCLA Medical Center,106191227,30-day Mortality,12.85,284.0,17.0,As Expected,"(33.83149, -118.29332)"
2013-2014,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Readmission,10.3,199.0,19.0,As Expected,"(34.05982, -118.21031)"
2013-2014,Los Angeles,Los Angeles County/University of Southern California Medical Center,106191228,30-day Mortality,18.97,232.0,23.0,Worse,"(34.05982, -118.21031)"
2013-2014,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Readmission,9.6,147.0,12.0,As Expected,"(34.32418, -118.45255)"
2013-2014,Los Angeles,Los Angeles County/Olive View – UCLA Medical Center,106191231,30-day Mortality,2.18,149.0,1.0,As Expected,"(34.32418, -118.45255)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Readmission,8.81,293.0,28.0,As Expected,"(34.17198, -118.58829)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Woodland Hills,106191450,30-day Mortality,10.28,322.0,38.0,As Expected,"(34.17198, -118.58829)"
2013-2014,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Readmission,10.59,38.0,4.0,As Expected,"(34.06284, -118.20287)"
2013-2014,Los Angeles,Keck Hospital of University of Southern California,106194219,30-day Mortality,2.48,40.0,1.0,As Expected,"(34.06284, -118.20287)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Readmission,12.6,450.0,60.0,As Expected,"(34.06348, -117.986)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Baldwin Park,106196035,30-day Mortality,12.4,474.0,42.0,As Expected,"(34.06348, -117.986)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Mortality,9.47,431.0,25.0,As Expected,"(33.9171234, -118.1290216)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Downey,106196403,30-day Readmission,9.81,399.0,41.0,As Expected,"(33.9171234, -118.1290216)"
2013-2014,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Readmission,13.98,170.0,24.0,As Expected,"(34.5843754, -118.1443461)"
2013-2014,Los Angeles,Palmdale Regional Medical Center,106196405,30-day Mortality,11.09,181.0,12.0,As Expected,"(34.5843754, -118.1443461)"
2013-2014,Madera,Madera Community Hospital,106201281,30-day Readmission,10.87,57.0,6.0,As Expected,"(36.94535, -120.04561)"
2013-2014,Madera,Madera Community Hospital,106201281,30-day Mortality,28.68,66.0,11.0,Worse,"(36.94535, -120.04561)"
2013-2014,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Readmission,8.06,189.0,15.0,As Expected,"(38.0041, -122.55376)"
2013-2014,Marin,Kaiser Foundation Hospital – San Rafael,106210992,30-day Mortality,7.16,199.0,18.0,As Expected,"(38.0041, -122.55376)"
2013-2014,Marin,Marin General Hospital,106211006,30-day Readmission,10.48,240.0,23.0,As Expected,"(37.94651, -122.53715)"
2013-2014,Marin,Marin General Hospital,106211006,30-day Mortality,7.98,268.0,28.0,As Expected,"(37.94651, -122.53715)"
2013-2014,Marin,Novato Community Hospital,106214034,30-day Readmission,14.04,54.0,7.0,As Expected,"(38.09749, -122.55887)"
2013-2014,Marin,Novato Community Hospital,106214034,30-day Mortality,8.0,60.0,4.0,As Expected,"(38.09749, -122.55887)"
2013-2014,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Readmission,5.47,40.0,2.0,As Expected,"(39.40079, -123.34973)"
2013-2014,Mendocino,Frank R. Howard Memorial Hospital,106230949,30-day Mortality,8.86,43.0,4.0,As Expected,"(39.40079, -123.34973)"
2013-2014,Mendocino,Mendocino Coast District Hospital,106231013,30-day Mortality,16.97,30.0,6.0,As Expected,"(39.4326, -123.80068)"
2013-2014,Mendocino,Ukiah Valley Medical Center,106231396,30-day Readmission,12.15,100.0,12.0,As Expected,"(39.1528, -123.20363)"
2013-2014,Mendocino,Ukiah Valley Medical Center,106231396,30-day Mortality,15.94,118.0,25.0,Worse,"(39.1528, -123.20363)"
2013-2014,Merced,Mercy Medical Center – Merced,106240942,30-day Readmission,10.52,267.0,30.0,As Expected,"(37.3402309, -120.4651815)"
2013-2014,Merced,Mercy Medical Center – Merced,106240942,30-day Mortality,7.94,292.0,26.0,As Expected,"(37.3402309, -120.4651815)"
2013-2014,Monterey,Community Hospital Monterey PeniAs Expectedula,106270744,30-day Readmission,10.86,357.0,35.0,As Expected,"(36.59827, -121.92488)"
2013-2014,Monterey,Community Hospital Monterey PeniAs Expectedula,106270744,30-day Mortality,9.56,396.0,35.0,As Expected,"(36.59827, -121.92488)"
2013-2014,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Readmission,10.23,306.0,31.0,As Expected,"(36.66022, -121.6481)"
2013-2014,Monterey,Salinas Valley Memorial Hospital,106270875,30-day Mortality,9.2,333.0,31.0,As Expected,"(36.66022, -121.6481)"
2013-2014,Monterey,Natividad Medical Center,106274043,30-day Readmission,8.99,54.0,4.0,As Expected,"(36.69686, -121.6297)"
2013-2014,Monterey,Natividad Medical Center,106274043,30-day Mortality,0.0,55.0,0.0,As Expected,"(36.69686, -121.6297)"
2013-2014,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Readmission,8.48,181.0,16.0,As Expected,"(38.32363, -122.296)"
2013-2014,Napa,Queen of the Valley Hospital – Napa,106281047,30-day Mortality,13.18,209.0,35.0,As Expected,"(38.32363, -122.296)"
2013-2014,Napa,Saint Helena Hospital,106281078,30-day Mortality,7.84,46.0,5.0,As Expected,"(38.53937349, -122.473003)"
2013-2014,Napa,Saint Helena Hospital,106281078,30-day Readmission,16.01,45.0,7.0,As Expected,"(38.53937349, -122.473003)"
2013-2014,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Readmission,8.23,156.0,11.0,As Expected,"(39.22932, -121.04748)"
2013-2014,Nevada,Sierra Nevada Memorial Hospital,106291023,30-day Mortality,11.39,174.0,23.0,As Expected,"(39.22932, -121.04748)"
2013-2014,Orange,Orange Coast Memorial Medical Center,106300225,30-day Readmission,15.0,180.0,26.0,As Expected,"(33.70162, -117.95524)"
2013-2014,Orange,Orange Coast Memorial Medical Center,106300225,30-day Mortality,10.95,193.0,19.0,As Expected,"(33.70162, -117.95524)"
2013-2014,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Readmission,11.97,208.0,24.0,As Expected,"(33.84725, -117.93248)"
2013-2014,Orange,AHMC Anaheim Regional Medical Center,106301098,30-day Mortality,9.52,221.0,15.0,As Expected,"(33.84725, -117.93248)"
2013-2014,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Readmission,10.45,429.0,49.0,As Expected,"(33.71546, -117.93694)"
2013-2014,Orange,Fountain Valley Regional Hospital and Medical Center – Euclid,106301175,30-day Mortality,8.4,480.0,47.0,As Expected,"(33.71546, -117.93694)"
2013-2014,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Readmission,12.53,799.0,92.0,As Expected,"(33.62526, -117.92949)"
2013-2014,Orange,Hoag Memorial Hospital Presbyterian,106301205,30-day Mortality,9.33,869.0,91.0,As Expected,"(33.62526, -117.92949)"
2013-2014,Orange,Huntington Beach Hospital,106301209,30-day Readmission,12.88,60.0,8.0,As Expected,"(33.70442, -117.98895)"
2013-2014,Orange,Huntington Beach Hospital,106301209,30-day Mortality,3.48,64.0,2.0,As Expected,"(33.70442, -117.98895)"
2013-2014,Orange,La Palma Intercommunity Hospital,106301234,30-day Readmission,8.78,64.0,6.0,As Expected,"(33.8485, -118.03737)"
2013-2014,Orange,La Palma Intercommunity Hospital,106301234,30-day Mortality,8.02,66.0,4.0,As Expected,"(33.8485, -118.03737)"
2013-2014,Orange,Los Alamitos Medical Center,106301248,30-day Readmission,12.34,384.0,45.0,As Expected,"(33.80327, -118.0674)"
2013-2014,Orange,Los Alamitos Medical Center,106301248,30-day Mortality,10.84,412.0,51.0,As Expected,"(33.80327, -118.0674)"
2013-2014,Orange,Mission Hospital Regional Medical Center,106301262,30-day Readmission,11.01,445.0,47.0,As Expected,"(33.56279, -117.66768)"
2013-2014,Orange,Mission Hospital Regional Medical Center,106301262,30-day Mortality,7.32,482.0,44.0,Better,"(33.56279, -117.66768)"
2013-2014,Orange,UC Irvine Medical Center,106301279,30-day Readmission,12.77,376.0,50.0,As Expected,"(33.7889, -117.89064)"
2013-2014,Orange,UC Irvine Medical Center,106301279,30-day Mortality,9.29,417.0,45.0,As Expected,"(33.7889, -117.89064)"
2013-2014,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Readmission,6.89,66.0,5.0,As Expected,"(33.7745089, -117.9130315)"
2013-2014,Orange,Garden Grove Hospital and Medical Center,106301283,30-day Mortality,8.6,68.0,5.0,As Expected,"(33.7745089, -117.9130315)"
2013-2014,Orange,Placentia Linda Hospital,106301297,30-day Readmission,14.69,70.0,9.0,As Expected,"(33.88704521, -117.8431129)"
2013-2014,Orange,Placentia Linda Hospital,106301297,30-day Mortality,18.81,74.0,13.0,Worse,"(33.88704521, -117.8431129)"
2013-2014,Orange,Saddleback Memorial Medical Center,106301317,30-day Readmission,10.92,452.0,46.0,As Expected,"(33.60796, -117.70837)"
2013-2014,Orange,Saddleback Memorial Medical Center,106301317,30-day Mortality,11.46,503.0,84.0,As Expected,"(33.60796, -117.70837)"
2013-2014,Orange,Saint Joseph Hospital – Orange,106301340,30-day Readmission,15.06,425.0,60.0,As Expected,"(33.7823, -117.86516)"
2013-2014,Orange,Saint Joseph Hospital – Orange,106301340,30-day Mortality,10.65,468.0,55.0,As Expected,"(33.7823, -117.86516)"
2013-2014,Orange,Saint Jude Medical Center,106301342,30-day Readmission,9.3,535.0,51.0,As Expected,"(33.89349, -117.92851)"
2013-2014,Orange,Saint Jude Medical Center,106301342,30-day Mortality,8.9,592.0,75.0,As Expected,"(33.89349, -117.92851)"
2013-2014,Orange,West Anaheim Medical Center,106301379,30-day Readmission,11.12,104.0,12.0,As Expected,"(33.82482, -117.99492)"
2013-2014,Orange,West Anaheim Medical Center,106301379,30-day Mortality,8.67,114.0,10.0,As Expected,"(33.82482, -117.99492)"
2013-2014,Orange,Western Medical Center – Santa Ana,106301566,30-day Readmission,12.82,201.0,24.0,As Expected,"(33.75361, -117.83398)"
2013-2014,Orange,Western Medical Center – Santa Ana,106301566,30-day Mortality,12.78,228.0,33.0,As Expected,"(33.75361, -117.83398)"
2013-2014,Orange,Kaiser Foundation Hospital – Orange County – Anaheim,106304409,30-day Readmission,11.86,537.0,64.0,As Expected,"(33.8544317, -117.8439815)"
2013-2014,Orange,Kaiser Foundation Hospital – Orange County – Anaheim,106304409,30-day Mortality,9.91,575.0,51.0,As Expected,"(33.8544317, -117.8439815)"
2013-2014,Placer,Sutter Auburn Faith Hospital,106310791,30-day Readmission,5.75,160.0,8.0,As Expected,"(38.94452, -121.0982)"
2013-2014,Placer,Sutter Auburn Faith Hospital,106310791,30-day Mortality,11.4,163.0,17.0,As Expected,"(38.94452, -121.0982)"
2013-2014,Placer,Sutter Roseville Medical Center,106311000,30-day Readmission,9.12,478.0,43.0,As Expected,"(38.76439, -121.25055)"
2013-2014,Placer,Sutter Roseville Medical Center,106311000,30-day Mortality,11.38,528.0,65.0,As Expected,"(38.76439, -121.25055)"
2013-2014,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Readmission,9.06,500.0,48.0,As Expected,"(38.74636, -121.25107)"
2013-2014,Placer,Kaiser Foundation Hospital – Roseville,106314024,30-day Mortality,8.31,531.0,57.0,As Expected,"(38.74636, -121.25107)"
2013-2014,Riverside,Corona Regional Medical Center – Main,106331152,30-day Readmission,15.59,122.0,18.0,As Expected,"(33.8733354, -117.5668015)"
2013-2014,Riverside,Corona Regional Medical Center – Main,106331152,30-day Mortality,4.61,126.0,4.0,As Expected,"(33.8733354, -117.5668015)"
2013-2014,Riverside,Desert Regional Medical Center,106331164,30-day Readmission,13.43,551.0,68.0,As Expected,"(33.83932, -116.54549)"
2013-2014,Riverside,Desert Regional Medical Center,106331164,30-day Mortality,14.21,616.0,90.0,Worse,"(33.83932, -116.54549)"
2013-2014,Riverside,Eisenhower Medical Center,106331168,30-day Readmission,12.16,786.0,86.0,As Expected,"(33.76418, -116.40808)"
2013-2014,Riverside,Eisenhower Medical Center,106331168,30-day Mortality,8.8,843.0,75.0,As Expected,"(33.76418, -116.40808)"
2013-2014,Riverside,Hemet Valley Medical Center,106331194,30-day Readmission,10.38,278.0,30.0,As Expected,"(33.75113, -116.95958)"
